prompt,completion
"drum, snare, dubstep, loud, hard, tonal","SynthDef(\snare, {
	var snd;
	snd = SinOsc.ar(
		319
		* (1 + (0.5 * Env.perc(0.0, 0.1, curve: -9).ar))
		* (1 + (0.3 * Env.perc(0.0, 0.03, curve: -4).ar))
		* [0.56, 1, 2.3, 3.4]
	);
	snd = snd * (Env.perc(0, [0.3, 3.0, 0.2, 0.1]).ar);
	snd = (snd * [-5, 0, -5, -3].dbamp).sum;
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), [2420, 5420, 8329], 0.5) * Env.perc(0.05, 0.2).ar * [5, 0, -8].dbamp).sum;
	snd = (snd * 8.dbamp).tanh;
	snd = snd * Env.perc(0.0005, 0.12, curve: -1).ar(Done.freeSelf);
	snd = snd * -3.dbamp;
	snd = Pan2.ar(snd, \pan.kr(0));
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, resonant, sustain, sustained, tonal, high bass, low synth, melodic","SynthDef(\bass, {
	var snd, freq, duration;
	duration = \duration.kr;
	freq = \freq.kr(440) * XLine.kr(1, \bend.kr.midiratio, duration) * [-0.1, 0.1].midiratio;
	snd = Pulse.ar(freq);
	snd = MoogFF.ar(snd, XLine.kr(ExpRand(500, 3000), ExpRand(500, 3000), duration), 3) * 20.dbamp;
	snd = snd.fold2;
	snd = MoogFF.ar(snd, XLine.kr(ExpRand(500, 3000), ExpRand(500, 3000), duration), 2) * 5.dbamp;
	snd = snd.tanh * 8.dbamp;
	snd = Splay.ar(snd, 0.3);
	snd = snd + (Latch.ar(snd, Impulse.ar(XLine.kr(ExpRand(3000, 16e3), ExpRand(3000, 16e3)), duration)) * -5.dbamp);
	snd = (SinOsc.ar(freq * [1, 1 / 2]) * [0, -10].dbamp).sum + HPF.ar(snd, 300);
	snd = BHiShelf.ar(snd, 1200, 1, -10);
	snd = Limiter.ar(snd * 20.dbamp);
	snd = snd * Env.adsr(0.03, 0.1, 0.5, 0.01, curve: -1).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * -3.dbamp;
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, sustain, sustained, bell, gong, radio static, tonal, humming, hum","SynthDef(\glitch, {
	var snd, duration;
	duration = \duration.kr(1);
	snd = SinOsc.ar(ExpRand(100, 8000)) * Rand(1000, 3e3);
	5.do {
		snd = SinOsc.ar(ExpRand(100, 8000) + snd) * Rand(2e3, 8e3) * Line.kr(Rand(0.4, 1), Rand(0.4, 1), duration);
		snd = Latch.ar(snd, Impulse.ar(ExpRand(8000, 16e3)));
		snd = BPF.ar(snd, ExpRand(100, 8000), ExpRand(0.5, 0.9));
	};
	snd = SinOsc.ar(ExpRand(100, 3000) + snd);
	snd = snd * Line.kr(Rand(0, 1), Rand(0, 1), duration);
	snd = MoogFF.ar(snd, 4000, 0);
	snd = snd * Env.asr(0, 1, 0).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * -5.dbamp;
	snd = Pan2.ar(snd, \pan.kr(0));
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, fx, effect, effects","SynthDef(\fx, {
	var snd, trigger, dry, probability;
	snd = In.ar(\out.kr(0), 2);
	dry = snd;
	trigger = \trigger.tr;
	probability = \probability.kr(0.2);
	4.do {
		snd = SelectX.ar(Latch.kr(CoinGate.kr(probability, trigger), trigger).lag(0.01), [
			snd,
			snd + (LPF.ar(GVerb.ar(snd.sum, Rand(30, 50), Rand(1, 3)), 3000) * -10.dbamp)
		]);
		snd = SelectX.ar(Latch.kr(CoinGate.kr(probability, trigger), trigger).lag(0.01), [
			snd,
			snd + PitchShift.ar(snd, Rand(0.02, 0.05), 1 + Amplitude.ar(snd, 0.01, 0.1))
		]);
		snd = SelectX.ar(Latch.kr(CoinGate.kr(probability, trigger), trigger).lag(0.01), [
			snd,
			snd + DelayC.ar(snd, 0.2, SinOsc.ar(Rand(0.1, 0.3), [0, pi]).linlin(-1, 1, 0, 1) * 1e-3)
		]);
		snd = SelectX.ar(Latch.kr(CoinGate.kr(probability, trigger), trigger).lag(0.01), [
			snd,
			FreqShift.ar(snd, Rand(-30, 30))
		]);
		snd = SelectX.ar(Latch.kr(CoinGate.kr(probability, trigger), trigger).lag(0.01), [
			snd,
			BPF.ar(snd, LFNoise2.kr(3).linexp(-1, 1, 100, 8000), 0.5)
		]);
	};
	snd = (dry * 3.dbamp) + (snd * (1 - (0.5 * Amplitude.ar(dry, 0.01, 0.1))).clip(0, 1));
	snd = HPF.ar(snd, 20);
	snd = Limiter.ar(snd);
	ReplaceOut.ar(\out.kr(0), snd);
}).add;"
"drum, kick, hard, transient, punchy","SynthDef(\kick, {
	var snd;
	snd = SinOsc.ar(59 * (1 + (5 * Env.perc(0, 0.1, curve: -8).ar)) * (1 + (0.4 * Env.perc(0, 0.2, curve: -2).ar)));
	snd = snd + (SinOsc.ar(XLine.ar(7000, 100, 0.03)) * Env.perc(0.002, 0.03).ar);
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), 8130, 0.5) * Env.perc(0.001, 0.03).ar * -9.dbamp);
	snd = snd * (1 + Env.perc(0.0, 0.5).ar);
	snd = snd.tanh;
	snd = snd * Env.perc(0.001, 0.5, curve: -4).ar(Done.freeSelf);
	snd = snd * -4.dbamp;
	snd = snd ! 2;
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, kick, ghostkick, ghost kick, fast, quick, short","SynthDef(\ghostKick, {
	var snd;
	snd = SinOsc.ar(49 * (1 + (5 * Env.perc(0, 0.1, curve: -8).ar)) * (1 + (0.4 * Env.perc(0, 0.2, curve: -2).ar)));
	snd = snd + (SinOsc.ar(XLine.ar(4000, 100, 0.03)) * Env.perc(0.002, 0.03).ar);
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), 8130, 0.5) * Env.perc(0.001, 0.03).ar * -9.dbamp);
	snd = snd * (1 + Env.perc(0.0, 0.5).ar);
	snd = snd.tanh;
	snd = snd * Env.perc(0.001, 0.1, curve: -4).ar(Done.freeSelf);
	snd = snd * -4.dbamp;
	snd = snd ! 2;
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, clap, dry clap, dry, house, classic house, classic, standard, regular","SynthDef(\clapDry, {
	var snd;
	snd = Hasher.ar(Sweep.ar + [0, 1, 2]);
	snd = BPF.ar(snd, 1135 * [0.9, 1.0, 1.16], 0.1) * 13.dbamp;
	snd = snd * Env.perc(0.001, 0.2, curve: -6).delay([0, 1, 2] * 2e-2).ar;
	snd = Splay.ar(snd, 0.5);
	snd = snd * 8.dbamp;
	snd = snd * \amp.kr(1);
	snd = snd * Env.linen(0, 0.3, 0.1).ar(Done.freeSelf);
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, clap, long, long tail, tail, release, long release, wet, reverb, echo","SynthDef(\clapWet, {
	var snd;
	snd = Hasher.ar(Sweep.ar + [0, 1, 2]);
	snd = BPF.ar(snd, 1105 * [0.9, 1.0, 1.16], 0.1) * 13.dbamp;
	snd = snd * Env.perc(0.001, \decay.kr(0.9), curve: -6).delay([0, 1, 2] * 2e-2).ar;
	snd = Splay.ar(snd, 0.3);
	snd = snd * -3.dbamp;
	snd = snd * Env.linen(0, \decay.kr(0.9), 0.1).ar(Done.freeSelf);
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, hat, closed, chiptune, white noise, noisy, noise short, very short, small, clicky, click, tick","SynthDef(\hat, {
	var snd;
	snd = SinOsc.ar(1320) * Env.perc(0.001, 0.03).ar * 8000;
	snd = SinOsc.ar(3340 + snd) * Env.perc(0.001, 0.1).ar * 16000;
	snd = SinOsc.ar(1220 + snd);
	snd = snd + Hasher.ar(Sweep.ar);
	snd = BPF.ar(snd, [3844, 12844, 5249], 0.3);
	snd = snd * [-10, -5, 0].dbamp;
	snd = snd.sum;
	snd = snd * Env.perc(0.003, 0.05, curve: -8).ar(Done.freeSelf);
	snd = Pan2.ar(snd, \pan.kr(0));
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, sustain, sustained, bass, wavering, upsweep, pitched up, pitched, hovering, floating","SynthDef(\bass, {
	var snd;
	snd = Pulse.ar(\freq.kr(100) * XLine.kr(1, \bend.kr(5).midiratio, 0.3) * [-0.1, 0, 0.1].midiratio);
	snd = Splay.ar(snd);
	snd = MoogFF.ar(snd, LFNoise2.kr(8).linexp(-1, 1, 500, 8000), 2.3) * 15.dbamp;
	snd = snd.fold2;
	snd = MoogFF.ar(snd, LFNoise2.kr(5).linexp(-1, 1, 500, 16000), 1.3) * 5.dbamp;
	snd = snd + CombC.ar(snd, 0.1, 1 / 95, 0.1);
	snd = snd * Env.asr(0.3, 1, 0.03).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * \amp.kr(1);
	snd = snd * -12.dbamp;
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, lfo, voluming changing, wavy, wavering, pitchup, pitched up, pitched, bass, tonal, hovering, hover","SynthDef(\bass2, {
	var snd, auto, freq;
	freq = \freq.kr(100) * XLine.kr(1, \bend.kr(5).midiratio, 1) * [-0.1, 0, 0.1].midiratio;
	auto = SinOsc.ar(1 / \beat.kr(1), 1.5pi).linlin(-1, 1, 0, 1);
	snd = Pulse.ar(freq);
	snd = Splay.ar(snd);
	snd = MoogFF.ar(snd, auto.linexp(0, 1, 600, 4000), 2.3) * 15.dbamp;
	snd = snd.fold2;
	snd = MoogFF.ar(snd, auto.linexp(0, 1, 500, 16000), 0.3) * 8.dbamp;
	snd = snd * auto;
	snd = snd + CombC.ar(snd, 0.1, 1 / \combFreq.kr(125), \combDecay.kr(0.1));
	snd = snd * 3.dbamp;
	snd = snd * Env.asr(0.3, 1, 0.03).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * \amp.kr(1);
	snd = snd * -12.dbamp;
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, pad, tonal, radio static, static, radio, sine, sin, sinewave, sinwave, beautiful, complex","SynthDef(\pad, {
	var snd, env, pitchEnv;
	env = Env.perc(0.03, 0.5).ar(Done.none, \duck.tr);
	snd = Saw.ar(\freq.kr(440) * (LFNoise2.kr(3 ! 8) * 0.1).midiratio);
	snd = Splay.ar(snd);
	snd = MoogFF.ar(snd, LFNoise2.kr(3).linexp(-1, 1, 500, 1000) * (env.neg * 8).midiratio, 1.5) * 10.dbamp;
	snd = Latch.ar(snd, Impulse.ar(LFNoise2.kr(3).linexp(-1, 1, 4e3, 16e3)));
	snd = snd * (1 - env);
	snd = snd * Env.asr(0.1, 1, 0.1).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * \amp.kr(1);
	snd = snd * -12.dbamp;
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, loud, vibrato, vibrating, tonal, waving, wave, wavy","SynthDef(\bass3, {
        var snd, env, freq;
        env = Env.perc(0.03, 0.6).ar(Done.none, \duck.tr);
        freq = \freq.kr(440);
        snd = Pulse.ar(freq * [-0.1, 0.1].midiratio, 0.5);
        snd = MoogFF.ar(snd, 3000 * (LFNoise2.kr(1) * 10).midiratio, 1) * 10.dbamp;
        snd = SinOsc.ar(freq) + HPF.ar(snd.tanh, 300);
        snd = snd * (1 - env);
        snd = snd * Env.asr(0.1, 1, 0.1).ar(Done.freeSelf, \gate.kr(1));
        snd = snd * \amp.kr(1);
        snd = snd * -15.dbamp;
        Out.ar(\out.kr(0), snd);
}).add;"
"synth, bass, pluck, house, deep, techno, bass house, deep, cool, layered, layer, detuned, detune, hit","SynthDef(\pluck, {
        var snd, freq;
        freq = 60 * \transpose.kr(0).midiratio;
        snd = Pulse.ar(freq * [-0.1, 0.1].midiratio);
        snd = MoogFF.ar(snd, Env.perc(0.001, 0.2).ar.linexp(0, 1, 100, 8000), 1);
        snd = snd * (1 + (SinOsc.ar(963) * Env.perc(0, 0.1).ar));
        snd = snd * Env.perc(0.001, 0.2, curve: -1).ar;
        snd = snd + (GVerb.ar(snd.sum, 20, 1) * -10.dbamp);
        snd = snd * Env.perc(0.001, 0.5, curve: -1).ar(Done.freeSelf);
        snd = snd * \amp.kr(1);
        snd = snd * 3.dbamp;
        Out.ar(\out.kr(0), snd);
}).add;"
"drum, kick, deep, house, dubstep, short, quick, subdued, dark, dull, small","SynthDef(\kick, {
	var snd;
	snd = SinOsc.ar(Env([2000, 400, 95, 60], [0.005, 0.01, 0.1], [\exp, \exp, \exp]).ar);
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar + [0, 1]), 4400, 0.3) * 10.dbamp * Env.perc(0, 0.01).ar);
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar + [1, 0]), 2400, 0.3) * -5.dbamp * Env.perc(0, 0.05).ar);
	snd = snd * Env.perc(0.006, 0.2).ar(Done.freeSelf);
	snd = (snd * 3).tanh;
	snd = snd * \amp.kr(0.1);
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, clap, house, classic, standard","SynthDef(\clap, {
	var snd;
	snd = BPF.ar(Hasher.ar(Sweep.ar), [1100, 1150, 1230] * 1.2, 0.5) * Env.perc(0.001, 0.15).delay([0, 0.013, 0.023]).ar * 12.dbamp;
	snd = Splay.ar(snd, 0.7) * 5.dbamp;
	snd = LPF.ar(Latch.ar(LPF.ar(snd, 8000), Impulse.ar(16e3)), 12000);
	snd = snd * Env.perc(0.0, 0.2, curve: 1).ar(Done.freeSelf);
	snd = snd * \amp.kr(0.1);
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, hat, open, medium-length, tail, open hi hat, hi-hat,high hat","SynthDef(\hat, {
        var snd;
        snd = (BPF.ar(Hasher.ar(Sweep.ar), [10e3, 8e3, 14e3], 0.2) * Env.perc([0.01, 0.03, 0.02], [0.2, 0.15, 0.32], curve: 1).ar);
        snd = Splay.ar(snd, 0.5) * 7.dbamp;
        snd = (snd + (snd.tanh * -5.dbamp)) * -5.dbamp;
        snd = snd * Env.perc(0.0, \decay.kr(0.19), curve: -6).ar(Done.freeSelf);
        snd = snd * \amp.kr(0.1);
        snd = snd ! 2;
        Out.ar(\out.kr(0), snd);
}).add;"
"synth, bass, short, error, moog, deep, korg, staccato","SynthDef(\bass, {
	var snd, freq, brightness;
	freq = \freq.kr(60);
	snd = (Pulse.ar(freq * (Env.perc(0.0, 0.03).ar * 24).midiratio * [1, 2]) * [0, -10].dbamp).sum;
	snd = snd ! 2;
	brightness = \brightness.kr(0);
	snd = MoogFF.ar(snd, brightness.linexp(0, 1, 200, 500), 3) * 20.dbamp;
	snd = snd.fold2;
	snd = MoogFF.ar(snd, brightness.linexp(0, 1, 2000, 900), 3) * 10.dbamp;
	snd = snd.tanh;
	snd = LPF.ar(snd, brightness.linexp(0, 1, 1000, 3000));
	snd = HPF.ar(snd, 400);
	snd = (snd * 3.dbamp) + SinOsc.ar(freq);
	snd = snd * -5.dbamp;
	snd = snd * Env.perc(0.001, 0.12, curve: 10).ar(Done.freeSelf);
	snd = snd * \amp.kr(0.1);
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, bright, stab, pluck, vibrant, 90s, detuned, stereo, voice","SynthDef(\synth, {
	var snd, freq;
	freq = \freq.kr(60);
	freq = freq * [-0.1, 0.1].midiratio;
	snd = Pluck.ar(PinkNoise.ar, Impulse.ar(0), 0.1, freq.reciprocal, 3.0, 0.2) * 22.dbamp;
	snd = snd * Env.adsr(0.02, 0.3, 0.0, 0.05).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * \amp.kr(0.1);
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, pad, moog, bass, drone, droning, sustained, sustain","SynthDef(\pad, {
	var snd, freq;
	freq = \freq.kr(60);
	snd = Saw.ar(freq);
	snd = DelayN.ar(snd, 0.01, { Rand(0, 0.005) } ! 4);
	snd = RLPF.ar(snd, LFNoise2.kr(1 ! 4).exprange(500, 1200), 0.1);
	snd = Splay.ar(snd);
	snd = LPF.ar(snd, 3000);
	snd = snd * Env.asr(0.3, 1, 1).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * 6.dbamp;
	snd = snd * \amp.kr(0.1);
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, kick, bassdrum, bass drum, small, soft, dull, lower volume, low, fast, quick","SynthDef(\kick, {
	var snd;
	snd = SinOsc.ar(\freq.kr.linexp(0, 1, 45, 65) * (1 + (3 * Env.perc(0.001, \bend.kr.linexp(0, 1, 0.03, 0.2), curve: -8).ar)));
	snd = snd * (1 + (5 * Env.perc(0, 0.01).ar));
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), 8320, 0.3) * Env.perc(0.001, 0.01).ar * -5.dbamp);
	snd = snd * \drive.kr.linexp(0, 1, 0.5, 3);
	snd = snd.tanh;
	snd = snd * -10.dbamp;
	snd = snd * \velocity.kr(1);
	snd = snd * (1 + Env.perc(0, 0.02).ar);
	snd = snd * Env.perc(0.001, \decay.kr.linexp(0, 1, 0.1, 0.7)).ar(Done.freeSelf);
	snd = Pan2.ar(snd, \pan.kr(0));
	snd = snd * \amp.kr(1);
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, snare, soft, classic, drum machine, machine, 909","SynthDef(\snare, {
	var snd;
	snd = SinOsc.ar(\freq.kr.linexp(0, 1, 200, 260) * (1 + (0.3 * Env.perc(0.001, 0.01, curve: -8).ar)) * [1, 2.3, 5.6, 8.9]);
	snd = snd * ([1] ++ Env.perc(0, [0.1, 0.03, 0.15] * \clankiness.kr.linexp(0, 1, 1, 3)).ar);
	snd = snd * [0, -8, -5, -15].dbamp * ([1] ++ (\clankiness.kr.linlin(0, 1, 0.1, 1) ! 3));
	snd = snd.sum;
	snd = snd * \velocity.kr(1);
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), \brushFreq.kr.linexp(0, 1, 1200, 3200), 0.3) * Env.perc(0.05, 0.1).ar * -1.dbamp * \drive.kr.linlin(0, 1, -3, 5).dbamp);
	snd = snd * (1 + (10 * Env.perc(0, 0.01).ar * \transient.kr.sqrt));
	snd = (snd * \drive.kr.linlin(0, 1, -2, 5).dbamp).tanh;
	snd = snd * -3.dbamp * \isGhost.kr.linlin(0, 1, 0, -7).dbamp;
	snd = snd * Env.perc(0.001, \decay.kr.linexp(0, 1, 0.09, 0.15) * \isGhost.kr.linexp(0, 1, 1, 0.2), curve: -1).ar(Done.freeSelf);
	snd = Pan2.ar(snd, \pan.kr(0));
	snd = snd * \amp.kr(1);
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, hat, hihat, hi-hat, high hat, closed, close, small, click, flick","SynthDef(\hat, {
	var snd;
	snd = SinOsc.ar([1324, 2359, 4530, 4539] * 3) * [3425, 2485, 3492, 4728] * Env.perc(0.002, 0.01).ar;
	snd = SinOsc.ar(([5848, 4378, 4378, 2783] * 1) + snd);
	snd = snd.sum.fold2;
	snd = snd + (Hasher.ar(Sweep.ar));
	snd = snd.tanh;
	snd = RHPF.ar(snd, 3210 * \freq.kr.linexp(0, 1, 0.5, 2), 0.3);
	snd = BRF.ar(snd, 4329, 0.3);
	snd = snd * \velocity.kr(1);
	snd = snd * -16.dbamp;
	snd = snd * (1 + (3 * Env.perc(0, 0.01).ar)) / 3;
	snd = snd * Env.perc(\attack.kr.linexp(0, 1, 0.001, 0.01), \decay.kr.linexp(0, 1, 0.01, 0.05), curve: -1).ar(Done.freeSelf);
	snd = Pan2.ar(snd, \pan.kr(0));
	snd = snd * \amp.kr(1);
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, bass, sustained, sustain, moog, reese, low, dark","SynthDef(\bass, {
        var snd, freq, dry;
        freq = \freq.kr(60);
        snd = SinOsc.ar(freq * XLine.kr(2, 1, 0.03));
        dry = snd;
        snd = DelayC.ar(HPF.ar((snd * 12.dbamp).tanh, 900), 0.2, SinOsc.ar(3, [0, pi]).linlin(-1, 1, 0, 1) * 0.5e-3);
        snd = dry + (snd * -1.dbamp);
        snd = snd * Env.adsr(0.001, 0.1, 0.9, 0.02).ar(Done.freeSelf, \gate.kr(1));
        snd = snd * -8.dbamp;
        snd = snd * \amp.kr(1);
        Out.ar(\out.kr(0), snd);
}).add;"
"synth, bass, sustained, sustain, swell, acid, loud, bright","SynthDef(\bass2, {
	var snd, freq, dry;
	freq = \freq.kr(60);
	snd = Pulse.ar(freq);
	snd = MoogFF.ar(snd, (Line.kr(0, 1, 0.9) ** 0.6).linexp(0, 1, 200, 4200), 0.9) * 5.dbamp;
	snd = Pan2.ar(snd, \pan.kr(0));
	snd = snd * Env.asr(0.1, 1, 0.03).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * -8.dbamp;
	snd = snd * \amp.kr(1);
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, kick, bassdrum, bass drum, chiptune, fast, sharp","SynthDef(\kick, {
	var snd;
	snd = SinOsc.ar(50 * (1 + (6 * Env.perc(0.001, 0.1, curve: -6).ar)) * (1 + Env.perc(0, 0.5).ar));
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), 6230, 0.2) * Env.perc(0.01, 0.02).ar *  -10.dbamp);
	snd = snd + (2.dbamp * SinOsc.ar(XLine.ar(3000, 100, 0.01)) * Env.perc(0, 0.01).ar);
	snd = snd * (1 + (\drive.kr(0) * Env.perc(0, 0.3).ar));
	snd = (snd * (\drive.kr(0) * 20).dbamp).tanh;
	snd = snd * Env.perc(0.001, 0.3 * (1 + \drive.kr(0))).ar(Done.freeSelf);
	snd = snd * 10.dbamp;
	snd = Pan2.ar(snd, \pan.kr(0));
	Out.ar(\out.kr(0), snd);
}).add;"
"synth, pad, sustained, sustain, eerie, weird, hoover, floating, bright","SynthDef(\pad, {
	var snd;
	snd = LFTri.ar(\freq.kr(440) * ({ LFNoise2.kr(3) * 0.2 } ! 5).midiratio);
	snd = Splay.ar(snd);
	snd = (snd * -20.dbamp) + BPF.ar([snd], { ExpRand(800, 8120) } ! 3, 0.1).sum;
	snd = (snd * 16).round / 16;
	snd = snd * Env.asr(0.2, 1, 0.03, curve: 4).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * -18.dbamp;
	Out.ar(\out.kr(0), snd);
}).add;"
